order_id,customer_id,product_id,quantity,date
1,1,1,2,2024-01-01
2,2,3,1,2024-01-02
3,3,4,3,2024-01-03
4,4,7,1,2024-01-04
5,5,9,1,2024-01-05
6,6,2,2,2024-01-06
7,7,5,3,2024-01-07
8,8,11,1,2024-01-08
9,9,6,2,2024-01-09
10,10,12,4,2024-01-10
11,1,3,1,2024-01-11
12,2,7,2,2024-01-12
13,3,9,1,2024-01-13
14,4,1,3,2024-01-14
15,5,4,2,2024-01-15
16,6,8,1,2024-01-16
17,7,2,2,2024-01-17
18,8,6,3,2024-01-18
19,9,10,1,2024-01-19
20,10,3,2,2024-01-20
21,1,5,1,2024-01-21
22,2,9,2,2024-01-22
23,3,12,3,2024-01-23
24,4,2,1,2024-01-24
25,5,7,2,2024-01-25
26,6,4,3,2024-01-26
27,7,1,1,2024-01-27
28,8,9,2,2024-01-28
29,9,3,1,2024-01-29
30,10,8,3,2024-01-30
31,1,6,2,2024-02-01
32,2,10,1,2024-02-02
33,3,2,3,2024-02-03
34,4,5,2,2024-02-04
35,5,11,1,2024-02-05
36,6,1,2,2024-02-06
37,7,12,3,2024-02-07
38,8,4,1,2024-02-08
39,9,7,2,2024-02-09
40,10,9,1,2024-02-10
41,1,8,3,2024-02-11
42,2,6,2,2024-02-12
43,3,1,1,2024-02-13
44,4,3,2,2024-02-14
45,5,10,3,2024-02-15
46,6,5,1,2024-02-16
47,7,11,2,2024-02-17
48,8,2,3,2024-02-18
49,9,4,1,2024-02-19
50,10,7,2,2024-02-20
