product_id,name,category,price,rating,discount
1,iPhone 14,Electronics,80000,4.5,10
2,Samsung Galaxy S23,Electronics,70000,4.3,15
3,Sony TV 55inch,Electronics,55000,4.2,20
4,Nike Air Max,Fashion,8000,4.0,25
5,Adidas Ultraboost,Fashion,12000,4.1,20
6,Levi's Jeans,Fashion,3000,3.9,30
7,HP Laptop,Computers,65000,4.4,10
8,Dell Laptop,Computers,70000,4.3,15
9,Apple MacBook,Computers,120000,4.7,5
10,Whirlpool Fridge,Appliances,35000,4.0,20
11,LG Washing Machine,Appliances,28000,3.8,25
12,Prestige Mixer,Appliances,5000,4.2,15
